2026-05-05 00:00:22.512 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Running auto-complete for ACTIVE reservations: count=1
2026-05-05 00:00:22.527 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Parking spot occupancy refreshed: spotId=10, occupied=false
2026-05-05 00:00:22.529 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - ACTIVE reservation auto-completed: reservationId=4
2026-05-05 00:00:22.658 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Запущено закрытие NO_SHOW: count=1
2026-05-05 00:00:22.661 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Отправляем событие NO_SHOW в account-service: reservationId=3, operationId=reservation-3-no-show
2026-05-05 00:00:22.666 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Parking spot occupancy refreshed: spotId=9, occupied=false
2026-05-05 00:00:22.667 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Reservation moved to NO_SHOW: reservationId=3, refundPercent=30, refundAmount=120.00
2026-05-05 00:00:22.690 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Отмена брони: reservationId=1, email=user@test.com
2026-05-05 00:00:22.690 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Отправляем событие NO_SHOW в account-service: reservationId=1, operationId=reservation-1-no-show
2026-05-05 00:00:22.692 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Parking spot occupancy refreshed: spotId=7, occupied=true
2026-05-05 00:00:22.692 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Reservation moved to NO_SHOW: reservationId=1, refundPercent=30, refundAmount=120.00
2026-05-05 00:00:22.704 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Отмена брони: reservationId=2, email=user@test.com
2026-05-05 00:00:22.705 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Отправляем событие CANCELLED в account-service: reservationId=2, refundPercent=80, operationId=reservation-2-cancelled
2026-05-05 00:00:22.706 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Parking spot occupancy refreshed: spotId=8, occupied=false
2026-05-05 00:00:22.708 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Бронь отменена: reservationId=2, refundPercent=80, refundAmount=320.00
2026-05-05 00:00:39.789 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Running auto-complete for ACTIVE reservations: count=1
2026-05-05 00:00:39.798 [Test worker] INFO  r.w.p.s.ReservationService [requestId=] - Parking spot occupancy refreshed: spotId=10, occupied=false
